# LAMMPS data file written by OVITO Pro 3.7.10
432 atoms
2 atom types
0.0 16.51501 xlo xhi
0.0 16.51501 ylo yhi
0.0 16.51501 zlo zhi

Masses

1 2.014012  #1.00794  # H
2 14.0067  # N

Atoms  # atomic

1 1 2.89575 0.09661 4.55787
2 1 6.5223 0.98353 4.31183
3 1 14.62621 5.99685 0.64068
4 1 3.91794 3.29419 1.46512
5 1 3.7669 1.1034 15.08727
6 1 4.221 6.84461 5.56858
7 1 13.7354 1.83458 1.84459
8 1 15.31652 1.72665 1.55046
9 1 5.33919 7.20437 4.41194
10 1 6.1516 15.97039 3.76
11 1 3.74748 15.59269 2.88209
12 1 5.21459 14.79905 14.8012
13 1 2.9034 16.2149 6.7437
14 1 5.87237 4.00746 4.48333
15 1 3.72269 3.88831 7.96562
16 1 3.48807 10.7347 6.04387
17 1 3.77276 7.15538 3.97214
18 1 0.49016 2.12962 10.34333
19 1 5.03333 1.09041 10.58536
20 1 4.577 0.67197 9.01083
21 1 0.27051 0.78211 9.37747
22 1 4.61796 4.49088 3.61765
23 1 0.56212 11.86848 12.30269
24 1 4.93007 16.03599 7.15021
25 1 15.96303 3.96257 11.4733
26 1 8.01556 3.33064 0.28877
27 1 14.87178 5.58446 9.32792
28 1 6.8316 2.67415 11.4232
29 1 15.97136 0.88844 10.85419
30 1 3.11396 1.43522 13.73007
31 1 2.20274 15.87426 12.27991
32 1 1.21682 0.42607 13.12259
33 1 3.04357 2.53508 14.86675
34 1 7.15694 3.09539 1.73233
35 1 1.77729 16.15807 0.88372
36 1 1.22133 13.16209 6.4567
37 1 0.39586 8.68422 1.70626
38 1 8.5116 9.78885 5.07392
39 1 1.87981 9.94227 11.49164
40 1 14.57855 0.54804 2.3026
41 1 5.05634 10.38705 3.8701
42 1 3.52208 3.13797 11.92585
43 1 2.99723 10.74338 1.28376
44 1 2.55708 10.72627 16.22679
45 1 2.79471 4.57082 11.70219
46 1 7.44455 9.69544 3.78771
47 1 3.52791 3.17052 9.42906
48 1 1.98993 4.32071 2.5202
49 1 0.71354 9.26624 6.37054
50 1 7.67676 12.06901 7.46311
51 1 14.8105 10.87457 0.2333
52 1 3.93817 16.3947 10.37539
53 1 4.37755 4.47503 11.51395
